携带物品
中文	日文	英文	道具说明
红色头巾	红色头巾	あかいバンダナ	Red Scarf	携带它去参加华丽大赛的宝可梦会比平时看上去更加帅气。
蓝色头巾	蓝色头巾	あおいバンダナ	Blue Scarf	携带它去参加华丽大赛的宝可梦会比平时看上去更加美丽。
粉红头巾	粉红头巾	ピンクのバンダナ	Pink Scarf	携带它去参加华丽大赛的宝可梦会比平时看上去更加可爱。
绿色头巾	绿色头巾	みどりのバンダナ	Green Scarf	携带它去参加华丽大赛的宝可梦会比平时看上去更加聪明。
黄色头巾	黄色头巾	きいろのバンダナ	Yellow Scarf	携带它去参加华丽大赛的宝可梦会比平时看上去更加强壮。
朱红色宝珠	朱红色宝珠	べにいろのたま	Red Orb	散发着红色光辉的宝珠。据说和丰缘地区的传说渊源颇深。
靛蓝色宝珠	靛蓝色宝珠	あいいろのたま	Blue Orb	散发着蓝色光辉的宝珠。据说和丰缘地区的传说渊源颇深。
火球石板	火球石板	ひのたまプレート	Flame Plate	火属性的石板。携带后，火属性的招式威力就会增强。
水滴石板	水滴石板	しずくプレート	Splash Plate	水属性的石板。携带后，水属性的招式威力就会增强。
雷电石板	雷电石板	いかずちプレート	Zap Plate	电属性的石板。携带后，电属性的招式威力就会增强。
碧绿石板	碧绿石板	みどりのプレート	Meadow Plate	草属性的石板。携带后，草属性的招式威力就会增强。
冰柱石板	冰柱石板	つららのプレート	Icicle Plate	冰属性的石板。携带后，冰属性的招式威力就会增强。
拳头石板	拳头石板	こぶしのプレート	Fist Plate	格斗属性的石板。携带后，格斗属性的招式威力就会增强。
剧毒石板	剧毒石板	もうどくプレート	Toxic Plate	毒属性的石板。携带后，毒属性的招式威力就会增强。
大地石板	大地石板	だいちのプレート	Earth Plate	地面属性的石板。携带后，地面属性的招式威力就会增强。
蓝天石板	蓝天石板	あおぞらプレート	Sky Plate	飞行属性的石板。携带后，飞行属性的招式威力就会增强。
神奇石板	神奇石板	ふしぎのプレート	Mind Plate	超能力属性的石板。携带后，超能力属性的招式威力就会增强。
玉虫石板	玉虫石板	たまむしプレート	Insect Plate	虫属性的石板。携带后，虫属性的招式威力就会增强。
岩石石板	岩石石板	がんせきプレート	Stone Plate	岩石属性的石板。携带后，岩石属性的招式威力就会增强。
妖怪石板	妖怪石板	もののけプレート	Spooky Plate	幽灵属性的石板。携带后，幽灵属性的招式威力就会增强。
龙之石板	龙之石板	りゅうのプレート	Draco Plate	龙属性的石板。携带后，龙属性的招式威力就会增强。
恶颜石板	恶颜石板	こわもてプレート	Dread Plate	恶属性的石板。携带后，恶属性的招式威力就会增强。
钢铁石板	钢铁石板	こうてつプレート	Iron Plate	钢属性的石板。携带后，钢属性的招式威力就会增强。
妖精石板	妖精石板	せいれいプレート	Pixie Plate	妖精属性的石板。携带后，妖精属性的招式威力就会增强。
浑圆之石	浑圆之石	まんまるいし	Oval Stone	能让某些特定宝可梦进化的神奇石头。像珠子一般圆润。
金刚宝珠	金刚宝珠	こんごうだま	Adamant Orb	让帝牙卢卡携带的话，龙和钢属性的招式威力就会提高。散发着光辉的宝珠。
白玉宝珠	白玉宝珠	しらたま	Lustrous Orb	让帕路奇亚携带的话，龙和水属性的招式威力就会提高。散发着美丽光辉的宝珠。
白金宝珠	白金宝珠	はっきんだま	Griseous Orb	让骑拉帝纳携带的话，龙和幽灵属性的招式威力就会提高。散发着光辉的宝珠。
护具	护具	プロテクター	Protector	某种护具。非常坚硬而且沉重。某种宝可梦很喜欢它。
电力增幅器	电力增幅器	エレキブースター	Electirizer	积蓄着庞大电气力量的箱子。某种宝可梦很喜欢它。
熔岩增幅器	熔岩增幅器	マグマブースター	Magmarizer	积蓄着庞大熔岩能量的箱子。某种宝可梦很喜欢它。
可疑补丁	可疑补丁	あやしいパッチ	Dubious Disc	内部储存了奇怪信息的透明机器。制造者不明。
灵界之布	灵界之布	れいかいのぬの	Reaper Cloth	蕴含着惊人强大灵力的布。某种宝可梦很喜欢它。
锐利之爪	锐利之爪	するどいツメ	Razor Claw	尖锐的爪子。携带后，招式会变得容易击中要害。
锐利之牙	锐利之牙	するどいキバ	Razor Fang	尖锐的牙齿。携带后，在给予伤害时，有时会让对手畏缩。
广角镜	广角镜	こうかくレンズ	Wide Lens	能放大观看物体的镜片。携带后，招式的命中率就会少量提高。
力量头带	力量头带	ちからのハチマキ	Muscle Band	力如泉涌的头带。携带后，物理招式的威力就会少量提高。
博识眼镜	博识眼镜	ものしりメガネ	Wise Glasses	装着很厚镜片的眼镜。携带后，特殊招式的威力就会少量提高。
达人带	达人带	たつじんのおび	Expert Belt	用惯了的黑色带子。携带后，效果绝佳时的招式威力就会少量提高。
光之黏土	光之黏土	ひかりのねんど	Light Clay	当携带它的宝可梦使出光墙或反射壁时，效果会比平时持续得更长。
生命宝珠	生命宝珠	いのちのたま	Life Orb	携带后，虽然每次攻击时ＨＰ少量减少，但招式的威力会提高。
剧毒宝珠	剧毒宝珠	どくどくだま	Toxic Orb	触碰后会放出毒的神奇宝珠。携带后，在战斗时会变成剧毒状态。
火焰宝珠	火焰宝珠	かえんだま	Flame Orb	触碰后会放出热量的神奇宝珠。携带后，在战斗时会变成灼伤状态。
气势披带	气势披带	きあいのタスキ	Focus Sash	携带后，在ＨＰ全满时，即便受到可能会导致濒死的招式，也能仅以１ＨＰ撑过去１次。
对焦镜	对焦镜	フォーカスレンズ	Zoom Lens	当携带它的宝可梦比对手行动迟缓时，招式会变得容易命中。
节拍器	节拍器	メトロノーム	Metronome	携带后，连续使出相同招式时，威力就会提高。不再使出相同招式时，威力就会复原。
黑色铁球	黑色铁球	くろいてっきゅう	Iron Ball	携带后，速度会降低。飞行属性以及飘浮宝可梦会被地面招式击中。
后攻之尾	后攻之尾	こうこうのしっぽ	Lagging Tail	非常沉重的某种尾巴。携带后，行动会比平时更加迟缓。
红线	红线	あかいいと	Destiny Knot	长长的鲜红色细线。携带后，在自己着迷时能让对手也着迷。
黑色污泥	黑色污泥	くろいヘドロ	Black Sludge	携带后，毒属性的宝可梦会缓缓回复ＨＰ。其他属性的话，ＨＰ则会减少。
冰冷岩石	冰冷岩石	つめたいいわ	Icy Rock	携带它的宝可梦使出冰雹的话，冰雹的时间就会比平时更长。
沙沙岩石	沙沙岩石	さらさらいわ	Smooth Rock	携带它的宝可梦使出沙暴的话，沙暴的时间就会比平时更长。
炽热岩石	炽热岩石	あついいわ	Heat Rock	携带它的宝可梦使出大晴天的话，晴天的时间就会比平时更长。
潮湿岩石	潮湿岩石	しめったいわ	Damp Rock	携带它的宝可梦使出求雨的话，下雨的时间就会比平时更长。
紧缠钩爪	紧缠钩爪	ねばりのかぎづめ	Grip Claw	携带后，绑紧以及紧束等会持续造成伤害的招式的回合数会增加。
附着针	附着针	くっつきバリ	Sticky Barb	携带后，每回合都会受到伤害。有时也会附着到碰到自己的对手身上。
力量护腕	力量护腕	パワーリスト	Power Bracer	虽然携带后速度会降低，但宝可梦的攻击会比平时成长得更高。
力量腰带	力量腰带	パワーベルト	Power Belt	虽然携带后速度会降低，但宝可梦的防御会比平时成长得更高。
力量镜	力量镜	パワーレンズ	Power Lens	虽然携带后速度会降低，但宝可梦的特攻会比平时成长得更高。
力量束带	力量束带	パワーバンド	Power Band	虽然携带后速度会降低，但宝可梦的特防会比平时成长得更高。
力量护踝	力量护踝	パワーアンクル	Power Anklet	虽然携带后速度会降低，但宝可梦的速度会比平时成长得更高。
力量负重	力量负重	パワーウエイト	Power Weight	虽然携带后速度会降低，但宝可梦的ＨＰ会比平时成长得更高。
美丽空壳	美丽空壳	きれいなぬけがら	Shed Shell	结实坚硬的空壳。携带它的宝可梦必定可以和后备的宝可梦进行替换。
大根茎	大根茎	おおきなねっこ	Big Root	携带后，吸取ＨＰ的招式可以比平时更多地回复自己的ＨＰ。
水流卡带	水流卡带	アクアカセット	Douse Drive	这是让盖诺赛克特携带的卡带。携带后，高科技光炮这招式就会变为水属性。
闪电卡带	闪电卡带	イナズマカセット	Shock Drive	这是让盖诺赛克特携带的卡带。携带后，高科技光炮这招式就会变为电属性。
火焰卡带	火焰卡带	ブレイズカセット	Burn Drive	这是让盖诺赛克特携带的卡带。携带后，高科技光炮这招式就会变为火属性。
冰冻卡带	冰冻卡带	フリーズカセット	Chill Drive	这是让盖诺赛克特携带的卡带。携带后，高科技光炮这招式就会变为冰属性。
美丽鳞片	美丽鳞片	きれいなウロコ	Prism Scale	能让某些特定宝可梦进化的神奇鳞片。散发着虹色光辉。
进化奇石	进化奇石	しんかのきせき	Eviolite	进化的神奇石块。携带后，还能进化的宝可梦的防御和特防就会提高。
轻石	轻石	かるいし	Float Stone	非常轻的石头。携带后，宝可梦的体重会变轻。
凸凸头盔	凸凸头盔	ゴツゴツメット	Rocky Helmet	让宝可梦携带后，在受到打击招式攻击时，能给予对手伤害。
气球	气球	ふうせん	Air Balloon	让宝可梦携带后，宝可梦会浮在空中。受到攻击就会破裂。
红牌	红牌	レッドカード	Red Card	有着神奇力量的卡片。携带后，能让使用了招式的对手退场。
标靶	标靶	ねらいのまと	Ring Target	原本因宝可梦的属性相克关系而无效的招式现在会变得能够击中自己。
紧绑束带	紧绑束带	しめつけバンド	Binding Band	能增强绑紧招式的束带。携带后，绑紧招式的威力会变强。
球根	球根	きゅうこん	Absorb Bulb	一次性使用的球根。携带它的宝可梦如果受到水属性招式的攻击，特攻就会提高。
充电电池	充电电池	じゅうでんち	Cell Battery	一次性使用的充电电池。携带它的宝可梦如果受到电属性招式的攻击，攻击就会提高。
逃脱按键	逃脱按键	だっしゅつボタン	Eject Button	携带它的宝可梦如果受到招式攻击，就能逃脱战斗，并和同行的其他宝可梦进行替换。
火之宝石	火之宝石	ほのおのジュエル	Fire Gem	火属性的宝石。携带后，火属性的招式威力仅会增强１次。
水之宝石	水之宝石	みずのジュエル	Water Gem	水属性的宝石。携带后，水属性的招式威力仅会增强１次。
电之宝石	电之宝石	でんきのジュエル	Electric Gem	电属性的宝石。携带后，电属性的招式威力仅会增强１次。
草之宝石	草之宝石	くさのジュエル	Grass Gem	草属性的宝石。携带后，草属性的招式威力仅会增强１次。
冰之宝石	冰之宝石	こおりのジュエル	Ice Gem	冰属性的宝石。携带后，冰属性的招式威力仅会增强１次。
格斗宝石	格斗宝石	かくとうジュエル	Fighting Gem	格斗属性的宝石。携带后，格斗属性的招式威力仅会增强１次。
毒之宝石	毒之宝石	どくのジュエル	Poison Gem	毒属性的宝石。携带后，毒属性的招式威力仅会增强１次。
地面宝石	地面宝石	じめんのジュエル	Ground Gem	地面属性的宝石。携带后，地面属性的招式威力仅会增强１次。
飞行宝石	飞行宝石	ひこうのジュエル	Flying Gem	飞行属性的宝石。携带后，飞行属性的招式威力仅会增强１次。
超能力宝石	超能力宝石	エスパージュエル	Psychic Gem	超能力属性的宝石。携带后，超能力属性的招式威力仅会增强１次。
虫之宝石	虫之宝石	むしのジュエル	Bug Gem	虫属性的宝石。携带后，虫属性的招式威力仅会增强１次。
岩石宝石	岩石宝石	いわのジュエル	Rock Gem	岩石属性的宝石。携带后，岩石属性的招式威力仅会增强１次。
幽灵宝石	幽灵宝石	ゴーストジュエル	Ghost Gem	幽灵属性的宝石。携带后，幽灵属性的招式威力仅会增强１次。
龙之宝石	龙之宝石	ドラゴンジュエル	Dragon Gem	龙属性的宝石。携带后，龙属性的招式威力仅会增强１次。
恶之宝石	恶之宝石	あくのジュエル	Dark Gem	恶属性的宝石。携带后，恶属性的招式威力仅会增强１次。
钢之宝石	钢之宝石	はがねのジュエル	Steel Gem	钢属性的宝石。携带后，钢属性的招式威力仅会增强１次。
一般宝石	一般宝石	ノーマルジュエル	Normal Gem	一般属性的宝石。携带后，一般属性的招式威力仅会增强１次。
妖精宝石	妖精宝石	ようせいジュエル	Fairy Gem	妖精属性的宝石。携带后，妖精属性的招式威力会仅增强１次。
弱点保险	弱点保险	じゃくてんほけん	Weakness Policy	被针对弱点时，攻击和特攻就会大幅提高。
打空保险	打空保险	からぶりほけん	Blunder Policy	招式因命中率影响而落空时，速度会大幅提高。
突击背心	突击背心	とつげきチョッキ	Assault Vest	会变得富有攻击性的背心。虽然携带后特防会提高，但会无法使出变化招式。
泡沫奶油	泡沫奶油	ホイップポップ	Whipped Dream	松松软软起着泡的，稍微有点甜的奶油。某种宝可梦很喜欢它。
香袋	香袋	においぶくろ	Sachet	装着散发微浓香气的香料的袋子。某种宝可梦很喜欢它。
光苔	光苔	ひかりごけ	Luminous Moss	一次性使用的光苔。携带它的宝可梦如果受到水属性招式攻击，特防就会提高。
雪球	雪球	ゆきだま	Snowball	一次性使用的雪球。携带它的宝可梦如果受到冰属性招式攻击，攻击就会提高。
防尘护目镜	防尘护目镜	ぼうじんゴーグル	Safety Goggles	不单是天气造成的伤害，就连粉末类招式的效果也能防御的护目镜。
胆怯球	胆怯球	ビビリだま	Adrenaline Orb	让宝可梦携带后，在受到威吓时速度会提高。
大地膜	大地膜	グランドコート	Terrain Extender	当携带它的宝可梦利用招式或特性展开场地时，场地的持续时间会比平时更长。
部位护具	部位护具	ぼうごパット	Protective Pads	不会受到触碰攻击对手时本应受到的效果。
电气种子	电气种子	エレキシード	Electric Seed	让宝可梦携带后，在电气场地上使用，防御就会提高。
精神种子	精神种子	サイコシード	Psychic Seed	让宝可梦携带后，在精神场地上使用，特防就会提高。
薄雾种子	薄雾种子	ミストシード	Misty Seed	让宝可梦携带后，在薄雾场地上使用，特防就会提高。
青草种子	青草种子	グラスシード	Grassy Seed	让宝可梦携带后，在青草场地上使用，防御就会提高。
战斗存储碟	战斗存储碟	ファイトメモリ	Fighting Memory	装有格斗属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
飞翔存储碟	飞翔存储碟	フライングメモリ	Flying Memory	装有飞行属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
毒存储碟	毒存储碟	ポイズンメモリ	Poison Memory	装有毒属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
大地存储碟	大地存储碟	グラウンドメモリ	Ground Memory	装有地面属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
岩石存储碟	岩石存储碟	ロックメモリ	Rock Memory	装有岩石属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
虫子存储碟	虫子存储碟	バグメモリ	Bug Memory	装有虫属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
幽灵存储碟	幽灵存储碟	ゴーストメモリ	Ghost Memory	装有幽灵属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
钢铁存储碟	钢铁存储碟	スチールメモリ	Steel Memory	装有钢属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
火焰存储碟	火焰存储碟	ファイヤーメモリ	Fire Memory	装有火属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
清水存储碟	清水存储碟	ウオーターメモリ	Water Memory	装有水属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
青草存储碟	青草存储碟	グラスメモリ	Grass Memory	装有草属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
电子存储碟	电子存储碟	エレクトロメモリ	Electric Memory	装有电属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
精神存储碟	精神存储碟	サイキックメモリ	Psychic Memory	装有超能力属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
冰雪存储碟	冰雪存储碟	アイスメモリ	Ice Memory	装有冰属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
龙存储碟	龙存储碟	ドラゴンメモリ	Dragon Memory	装有龙属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
黑暗存储碟	黑暗存储碟	ダークメモリ	Dark Memory	装有恶属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
妖精存储碟	妖精存储碟	フェアリーメモリ	Fairy Memory	装有妖精属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
腐朽的剑	腐朽的剑	くちたけん	Rusted Sword	据说很久以前，英雄就是拿着这把剑驱走了灾厄。而现在早已变得锈迹斑斑。
腐朽的盾	腐朽的盾	くちたたて	Rusted Shield	据说很久以前，英雄就是拿着这面盾驱走了灾厄。而现在早已变得锈迹斑斑。
草莓糖饰	草莓糖饰	いちごアメざいく	Strawberry Sweet	草莓形状的工艺糖果。让小仙奶携带的话，会高兴地转圈圈。
爱心糖饰	爱心糖饰	ハートアメざいく	Love Sweet	爱心形状的工艺糖果。让小仙奶携带的话，会高兴地转圈圈。
野莓糖饰	野莓糖饰	ベリーアメざいく	Berry Sweet	浆果形状的工艺糖果。让小仙奶携带的话，会高兴地转圈圈。
幸运草糖饰	幸运草糖饰	よつばアメざいく	Clover Sweet	四叶草形状的工艺糖果。让小仙奶携带的话，会高兴地转圈圈。
花朵糖饰	花朵糖饰	おはなアメざいく	Flower Sweet	花朵形状的工艺糖果。让小仙奶携带的话，会高兴地转圈圈。
星星糖饰	星星糖饰	スターアメざいく	Star Sweet	星星形状的工艺糖果。让小仙奶携带的话，会高兴地转圈圈。
蝴蝶结糖饰	蝴蝶结糖饰	リボンアメざいく	Ribbon Sweet	蝴蝶结形状的工艺糖果。让小仙奶携带的话，会高兴地转圈圈。
爽喉喷雾	爽喉喷雾	のどスプレー	Throat Spray	使用声音相关的招式时，特攻会提高。
避难背包	避难背包	だっしゅつパック	Eject Pack	当携带它的宝可梦能力下降时，同行宝可梦就会自动替换上场。
厚底靴	厚底靴	あつぞこブーツ	Heavy-Duty Boots	不受脚下陷阱等的影响。
客房服务	客房服务	ルームサービス	Room Service	让宝可梦携带后，在戏法空间使用时，速度会下降。
万能伞	万能伞	ばんのうがさ	Utility Umbrella	携带它的宝可梦将不受各种天气的影响。
大金刚宝玉	大金刚宝玉	だいこんごうだま	Adamant Crystal	光辉灿烂的大珠子。对帝牙卢卡使用后，能使之力量高涨并改变形态。
大白宝玉	大白宝玉	だいしらたま	Lustrous Globe	光辉灿烂的大珠子。对帕路奇亚使用后，能使之力量高涨并改变形态。
大白金宝玉	大白金宝玉	だいはっきんだま	Griseous Core	光辉灿烂的大珠子。对骑拉帝纳使用后，能使之力量高涨并改变形态。
驱劲能量	驱劲能量	ブーストエナジー	Booster Energy	充满能量的胶囊。让有某种特性的宝可梦携带后，其能力会得到提升。
特性护具	特性护具	とくせいガード	Ability Shield	可爱而有个性的盾。携带后，特性不会被对手改变。
清净坠饰	清净坠饰	クリアチャーム	Clear Amulet	光芒晶莹剔透的坠饰。携带后，不会因为对手的招式或特性而被降低能力。
模仿香草	模仿香草	ものまねハーブ	Mirror Herb	携带它的宝可梦仅有１次机会可以在对手提高能力时，对其进行模仿并提高同样的能力。
拳击手套	拳击手套	パンチグローブ	Punching Glove	保护拳头的手套。携带后，拳击招式的威力会提高，且变得拳击时不会接触到对手。
密探斗篷	密探斗篷	おんみつマント	Covert Cloak	能骗过敌人眼睛的带帽披风。携带后，能够隐藏身体，变得不会受到招式的追加效果影响。
机变骰子	机变骰子	いかさまダイス	Loaded Dice	只会出现好数字的骰子。携带后，在使用连续招式时，能使出较多次招式。
头领凭证	头领凭证	かしらのしるし	Leader's Crest	像久经岁月的刃器一样的碎片。只有率领着驹刀小兵群体的劈斩司令能携带着。
妖精之羽	妖精之羽	ようせいのハネ	Fairy Feather	接触到光后就会微微发光的羽毛。携带后，妖精属性的招式威力就会提高。
础石面具	础石面具	いしずえのめん	Cornerstone Mask	用结晶装饰的木雕面具。让厄诡椪携带后，就会用岩石属性覆盖全身进行战斗。
水井面具	水井面具	いどのめん	Wellspring Mask	用结晶装饰的木雕面具。让厄诡椪携带后，就会用水属性覆盖全身进行战斗。
火灶面具	火灶面具	かまどのめん	Hearthflame Mask	用结晶装饰的木雕面具。让厄诡椪携带后，就会用火属性覆盖全身进行战斗。
