species,has_poser_json,has_anim_json,idle,walk,run,fly,hover,swim,float,sleep,physical,special,status,cry,recoil,clips
arbok,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,blink;cry;faint;ground_idle;ground_walk;sleep;summary_idle;tongue_flick
arboliva,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,battle_idle;blink;ground_idle
arcanine,True,True,True,True,True,False,False,False,False,True,False,False,False,True,True,battle_idle;blink;cry;cry_water_surface;ground_idle;ground_run;ground_walk;recoil;recoil_water_surface;ride_ground_run;ride_ground_walk;ride_jump;sleep;water_surface_idle;water_surface_swim;wild_sleep
archen,True,True,True,True,False,False,False,True,True,True,False,False,False,True,False,battle_cry;battle_idle;blink;chicken_fall;cry;ground_idle;ground_walk;idle_quirk;quirk;shoulder_left;shoulder_right;sleep;surfacewater_idle;surfacewater_swim;walkspeedtest
archeops,True,True,True,True,False,True,True,True,True,True,False,False,False,True,False,air_cry;air_fly;air_idle;battle_idle;blink;cry;faintpose;ground_idle;ground_walk;new;pose;quirk;quirk2;sleep;surfacewater_idle;surfacewater_swim
arctovish,True,True,True,True,False,False,False,True,True,True,False,False,False,True,False,blink;cry;ground_idle;ground_walk;sleep;water_cry;water_idle;water_quirk;water_sleep;water_swim
arctozolt,True,True,True,True,False,False,False,True,True,True,False,False,False,True,False,battle_idle;blink;cry;ground_idle;ground_walk;quirk;sleep;surfacewater_idle;surfacewater_sleep;surfacewater_swim;walkspeedtest;water_idle;water_sleep;water_swim
ariados,True,True,True,True,True,False,False,False,False,True,False,False,False,True,True,battle_idle;battle_sleep;blink;cry;fang_quirk;ground_idle;ground_run;ground_walk;look_quirk_wip;recoil;ride_ground_run;ride_ground_walk;ride_jump;sleep
armaldo,True,True,True,True,False,False,False,True,True,True,False,False,False,True,False,battle_idle;blink;cry;ground_idle;ground_sleep;ground_walk;look_quirk;render;sleep;water_battle_idle;water_idle;water_sleep;water_swim;water_swimfast_wip
armarouge,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,angry;battle_cry;battle_idle;battle_idle_old;blink;cry;eye_flame_overlay;faint;ground_idle;ground_run;ground_walk;happy;hurt;look_quirk;physical;recoil;sad;shock;sleep;special;special_backup;speedtest_run;speedtest_walk;status;tap_quirk;unamused
aromatisse,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,blink;cry;ground_idle
aron,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,blink;cry;ground_idle;ground_walk;ground_walk2
arrokuda,True,True,True,True,False,False,False,True,True,True,False,False,False,True,False,battle_idle;blink;cry;ground_idle;ground_quirk;ground_walk;sleep;water_battle_idle;water_faint_wip;water_idle;water_sleep;water_swim
articuno,True,True,True,False,False,True,True,False,False,False,False,False,False,False,True,air_fly;air_idle;blink;ground_idle;hold_item;hurt;pose
aurorus,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,base;battle_idle;blink;cry;ground_idle;ground_walk;hey_checkout_the_next_anim;refer_to_previous_animation;scale;sleep;walk_speed_test
avalugg,True,True,True,True,False,False,False,True,True,True,False,False,False,True,False,battle_idle;blink;cry;faint;ground_idle;ground_walk;silly;sleep;water_idle;water_swim
axew,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,angry;battle_idle;blink;cry;ground_idle;ground_run;ground_walk;happy;hold_item;physical;recoil;render;runspeedtest;sad;shock;sleep;special;status;unamused;walkspeedtest
azumarill,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,blink;ground_idle;sleep;water_idle
azurill,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,battle_idle;blink;ground_idle;sleep;water_idle
bagon,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,battle_idle;blink;cry;ground_idle;ground_walk
baltoy,True,True,True,True,True,True,True,False,False,True,False,False,False,True,False,air_fly;air_idle;battle_idle;blink;cry;faint;ground_idle;ground_run;ground_walk;idle_quirk;sleep
banette,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,blink;ditto_face;ground_idle_placeholder;mouth_opening_test;pose;scale
barbaracle,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,angry;blink;blink2;blink3;blink4;blink5;cry;ground_idle;happy;hurt;sad;shock
barboach,True,True,True,False,False,False,False,True,True,True,False,False,False,True,False,battle_idle;blink;cry;ground_idle;water_idle;water_sleep;water_swim
barraskewda,True,True,True,True,False,False,False,True,True,True,False,False,False,True,False,battle_idle;blink;cry;ground_idle;ground_walk;pose;sleep;water_battle_idle;water_idle;water_sleep;water_swim
basculegion,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,blink;cry;ground_idle;render
basculin,True,True,True,False,False,False,False,True,True,False,False,False,False,True,False,blink;blue_angry;blue_happy;blue_hurt;blue_sad;blue_surprise;cry;red_angry;red_happy;red_hurt;red_sad;red_surprise;render_blue;render_red;water_idle;water_swim
bastiodon,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,battle_idle;blink;cry;faint;ground_idle;ground_run;ground_run2;ground_walk;hold_item;ride_ground_run;ride_ground_walk;ride_jump;sleep;sleep_snore_quirk
bayleef,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,battle_idle;blink;cry;ground_idle;ground_walk;sleep
beartic,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,blink;cry;ground_idle
beedrill,True,True,True,False,False,True,True,False,False,True,False,False,False,True,False,air_fly;air_idle;cry;render;sleep
beheeyem,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,alt_sleep;battle_idle;blink;cry;ground_idle;ground_walk;lights_quirk1;lights_quirk2;lights_quirk3;new;pose;pose2;sleep
beldum,True,True,True,True,False,True,True,False,False,True,True,True,True,True,True,air_fly;air_idle;battle_cry;battle_idle;blink;cry;ground_idle;ground_walk;physical;quirk_spin;recoil;shoulder_left;shoulder_right;sleep;special;status
bellibolt,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,battle_cry;battle_idle;blink;cry;faint;ground_idle;ground_run;ground_walk;physical;quirk_pog;recoil;runspeed;sleep;special;status;walkspeed
bellossom,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,blink;ground_idle;ground_walk
bellsprout,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,battle_idle;blink;cry;ground_idle;ground_walk;sleep
bergmite,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,battle_idle;blink;cry;faint;ground_idle;ground_walk;sleep
bewear,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,battle_idle;blink;cry;faint;ground_idle;ground_run;ground_walk;sleep
bibarel,True,True,True,False,False,False,False,True,True,False,False,False,False,True,False,blink;cry;ground_idle;water_idle;water_swim
bidoof,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,blink;cry;faint;ground_idle;ground_walk;sleep;water_float
binacle,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,angry;blink;blink2;cry;ground_idle;happy;hurt;sad;shock
blastoise,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,air_fly;air_idle;battle_idle;blink;cannon_test;cry;dance;faint;ground_idle;ground_run;ground_walk;physical;quirk_battle_idle;quirk_battle_idle2;quirk_ground_idle;recoil;render;ride_air_fly;ride_air_idle;ride_ground_run;ride_ground_walk;ride_jetstream_fly;ride_jetstream_idle;ride_run_jump;ride_walk_jump;ride_water_swim;sleep;special;status;steal;surfacewater_idle;surfacewater_swim;surfacewaterlocation;uhoh;walkspeedtest;water_idle;water_swim
blaziken,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,battle_cry;battle_idle;battle_sleep;blink;cry;ground_idle;ground_jog;ground_run;ground_walk;jog_test;look;physical;recoil;render;run_test;sleep;special;status;walk_test
blissey,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,battle_idle;blink;cry;eggadjust_quirk;faint;ground_idle;ground_run;ground_walk;run speed test;sleep;test;walk speed test
blitzle,True,True,True,True,True,False,False,False,False,True,False,False,False,True,True,angry;battle_idle;blink;cry;ground_idle;ground_run;ground_walk;happy;hurt;recoil;runspeed_test;sad;sleep;surprised;unamused;walkspeed_test
boldore,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,battle_idle;cry;faint;ground_idle;ground_walk;sleep
boltund,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,battle_idle;blink;cry;faint;ground_idle;ground_run;ground_walk;sleep
bonsly,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,battle_idle;blink;cry;ground_idle;ground_walk;sleep;sleep_pot
bouffalant,True,True,True,True,True,False,False,False,False,True,True,False,True,True,False,battle_cry;battle_idle;blink;cry;faint;ground_idle;ground_run;ground_walk;new;new2;paper;physical;run_test;sleep;special_wip;status;turkey;unfortunate;walk_test
bounsweet,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,
braixen,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,battle_idle;blink;cry;ground_idle;ground_walk
brambleghast,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,blink;cry;ground_idle_placeholder;ground_walk_placeholder
bramblin,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,blink;cry;ground_idle;ground_walk_wip_v1;sleep_pose
braviary,True,True,True,True,False,True,True,False,False,True,False,False,False,True,True,air_fly;air_glide;air_idle;blink;cry;ground_idle;ground_walk;recoil;ride_air_dive;ride_air_fly;ride_air_glide;ride_ground_walk;scaletest;sleep;walkspeedtest
breloom,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,battle_faint;battle_idle;blink;cry;faint;ground_idle;ground_run;ground_walk;sleep
brionne,True,True,True,True,False,False,False,True,True,False,False,False,False,True,False,battle_idle;blink;cry;faint;ground_idle;ground_walk;water_idle;water_swim
bronzong,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,base;battle_cry;cry;faint;ground_idle;ground_run;ground_walk;light_eyes;mount_run;physical;physical_bong;recoil;ride_mount_run;sleep;status
bronzor,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,blink;cry;ground_idle;ground_walk;idle_quirk;sleep
bruxish,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,angry;blink;cry;ground_idle;happy;mouth_open;recoil;sad;shock
budew,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,battle_idle;blink;cry;faint;ground_idle;ground_walk;quirk_idle;sleep
buizel,True,True,True,True,False,False,False,True,True,True,False,False,False,True,False,blink;cry;ground_idle;ground_walk;sleep;surfacewater_idle;surfacewater_sleep;surfacewater_sleep2;surfacewater_swim;water_idle;water_sleep;water_swim
bulbasaur,True,True,True,True,False,False,False,False,False,True,False,False,False,True,True,battle_idle;blink;cry;faint;ground_idle;ground_walk;recoil;render;sleep
buneary,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,battle_idle;blink;cry;ground_idle;ground_run;ground_walk;idle;sleep
bunnelby,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,battle_idle;blink;cry;demon;ground_idle;ground_walk;quirk_sleep;quirk_sleep2;sleep
butterfree,True,True,True,False,False,True,True,False,False,True,False,False,False,True,False,air_fly;air_idle;cry;faint;render;sleep
cacnea,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,battle_idle;blink;cry;ground_idle;ground_walk;sleep
cacturne,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,angry;battle_idle;blink;cry;ground_idle;ground_walk;happy;pose;sad;shocked;sleep;unamused
camerupt,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,basepose;blink;cry;ground_idle;ground_run;ground_walk;ride_ground_run;ride_jump;test_runspeed;test_walkspeed
capsakid,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,battle_cry;battle_idle;blink;cry;ground_idle;ground_run;ground_walk;hold_item;quirk_ground_idle_walk;quirk_shoulder_left;recoil;runspeedtest;scaletest;shoulder_left;shoulder_right;sleep;status;walkspeedtest
carbink,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,air_idle;air_walk;air_walk_test;blink;cry
carnivine,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,air_fly;air_idle;battle_idle;blink;cry;ground_idle;ground_walk;quirk_ground_idle
carracosta,True,True,True,True,False,False,False,True,True,True,False,False,False,True,False,battle_idle;blink;cry;ground_idle;ground_walk;sleep;walk_test;water_idle;water_sleep;water_swim;water_test
carvanha,True,True,True,False,False,False,False,True,True,True,False,False,False,False,False,blink;ground_idle;ground_sleep;pose;pose2;quirk_bite;swim test;water_battle_idle;water_idle;water_sleep;water_swim
caterpie,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,blink;cry;faint;ground_idle;ground_walk;render;sleep
centiskorch,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,battle_idle;blink;cry;ground_idle;ground_walk;sleep;walkspeedtest
ceruledge,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,angry;battle_cry;battle_idle;battle_intro;blink;cry;eye_flame_overlay;faint;ground_idle;ground_walk;happy;hurt;passive_swords;physical;recoil;sad;shock;sleep;special;speedtest_walk;status;unamused
cetitan,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,battle_idle;blink;cry;faint;ground_idle;ground_walk;sleep
cetoddle,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,battle_idle;blink;cry;faint;ground_idle;ground_walk;sleep
chandelure,True,True,True,True,False,False,False,False,False,True,False,False,False,True,True,angry;battle_idle;blink;cry;ground_idle;ground_walk;happy;hurt;sad;shock;sleep;unamused
chansey,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,battle_idle;blink;cry;faint;ground_idle;ground_run;ground_walk;run speed test;sleep;walk speed test
charcadet,True,True,True,True,False,False,False,False,False,True,False,False,False,True,True,angry;blink;cry;eye_flame_overlay;faint;ground_idle;ground_idle_pose;ground_walk;happy;head_flame_overlay;hurt;render;sad;shoulder_left;shoulder_right;sleep;unamused
charizard,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,air_battle_cry;air_fly;air_fly_quirk;air_glide;air_idle;air_physical;air_recoil;air_special;air_status;battle_cry;battle_idle;battle_quirk;blink;cry;ground_idle;ground_quirk;ground_run;ground_run_unbaked;ground_walk;hold_item;idle_quirk;physical;recoil;ride_air_dive;ride_air_fly;ride_ground_run;ride_jump;runspeed;sleep;sleep_quirk;special;status;surfacewater_idle;surfacewater_swim
charmander,True,True,True,True,False,False,False,True,True,True,False,True,False,True,False,battle_idle;blink;cry;ground_idle;ground_walk;sleep;special;surfacewater_idle;surfacewater_swim
charmeleon,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,battle_idle;blink;cry;ground_idle;ground_walk;sleep
chatot,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,air_idle;blink;call;cry;ground_idle
chesnaught,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,blink;cry;ground_idle;shield;shield_test
chespin,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,blink;cry;ground_idle;ground_walk;sleep
chewtle,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,blink;cry;ground_idle;hold_item
chikorita,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,battle_idle;blink;cry;ground_idle;ground_run_wip;ground_walk;render;rolling_idle_quirk_wip;sleep
chimchar,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,battle_idle;blink;cry;faint;ground_idle;ground_run;ground_walk;idle;sleep
chimecho,True,True,True,True,True,True,True,False,False,True,False,False,False,True,False,achieved_peace;air_fly;air_idle;angry;blink;cry;ditto_face;faint;ground_idle;ground_run;ground_walk;happy;intrigued;mellow;sad;scream;shocked;sleep
chinchou,True,True,True,True,True,False,False,True,True,True,False,False,False,True,False,battle_idle;blink;cry;ground_faint_wip;ground_idle;ground_quirk;ground_run;ground_run speed test;ground_walk;ground_walk speed test;sleep;water_battle_idle;water_faint;water_idle;water_idle_quirk;water_sleep;water_swim;water_swim speed test
chingling,True,True,True,True,True,True,True,False,False,True,False,False,False,True,False,air_fly;air_idle;blink;cry;face_ditto;ground_idle;ground_run;ground_walk;sleep;sleep_quirk
cinccino,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,angry;blink;ditto_face;ground_idle;hair_template;happy;hurt;pose;sad;shaved;shock;unamused
cinderace,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,battle_cry;battle_idle;battle_intro;battle_pose;blink;cry;ditto_face;faint;faint2;ground_idle;ground_walk;physical;recoil;signature;sleep;special;speedtest_walk;status
clamperl,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,ground_idle;ground_walk;portrait;water_idle;water_swim
clauncher,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,blink;cry;ground_idle;render;water_idle
clawitzer,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,cry;render;water_idle
claydol,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,battle_idle;blink;cry;faint;ground_idle;ground_run;ground_walk;mount_run;mount_walk;quirk;ride_mount_run;ride_mount_walk;sleep
clefable,True,True,True,True,False,False,False,False,False,True,True,True,False,True,True,angry;blink;cry;faint;ground_idle;ground_walk;happy;hurt;mouth_test;physical;render;sad;sleep;special;surprised
clefairy,True,True,True,True,False,False,False,False,False,True,False,True,False,True,True,angry;blink;cry;faint;ground_idle;ground_walk;happy;hurt;mouth_test;render;sad;sitting_pose;size_test;sleep;special;surprised
cleffa,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,angry;blink;cry;faint;ground_idle;ground_walk;happy;hurt;render;sad;size_test;surprise
clobbopus,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,blink;ground_idle
clodsire,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,blink;cry;ground_idle
cloyster,True,True,True,True,False,False,False,True,True,True,False,False,False,True,True,angry;battle_idle;blink;closed;cry;ground_idle;ground_walk;happy;protect;recoil;sad;shock;sleep;water_battle_idle;water_idle;water_swim
cofagrigus,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,blink;closed;cry;faint;ground_idle;ground_run;ground_walk;sleep;test
combee,True,True,True,False,False,True,True,False,False,True,False,False,False,True,False,air_fly;air_idle;air_sleep;blink;blink_gender;blink_left;blink_right;cry;faint;pose
combusken,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,blink;cry;ground_idle;render
comfey,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,blink;cry;ground_idle;ground_walk;shoulder_left;shoulder_right;sleep
conkeldurr,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,battle_idle;blink;conkeldemon;cry;faint_wip;ground_idle;ground_walk;sleep;testidle;testpillarless;walkspeedtest
copperajah,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,battle_cry;battle_idle;blink;cry;faint;ground_idle;ground_run;ground_walk;physical;pose;quirk_idle;recoil;runspeedtest;sleep;special;status;walkspeedtest
corphish,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,angry;blink;cry;embarrassed;ground_idle_placeholder;ground_walk_placeholder;happy;sad;sleepy;test;water_swim_placeholder
corsola,True,True,True,True,False,False,False,True,True,True,False,False,False,True,False,battle_idle;blink;cry;ground_idle;ground_walk;render;sleep;surfacewater_idle;surfacewater_swim;water_idle;water_swim
corviknight,True,True,True,True,True,True,True,False,False,True,False,False,False,True,False,air_fly;air_glide;air_idle;battle_idle;blink;cry;folded_wangs;ground_idle;ground_run;ground_walk;ride_air_fly;ride_dive;ride_ground_run;ride_ground_walk;ride_jump;sleep;wangs
corvisquire,True,True,True,True,False,True,True,False,False,True,False,False,False,True,True,air_fly;air_idle;blink;closed_wangs;cry;fly_speed_test;ground_idle;ground_walk;recoil;sleep;walkspeed_test;wangs
cottonee,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,blink;cry;ditto_face;ground_idle
crabominable,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,blink;cry;ground_idle;ground_walk
crabrawler,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,blink;cry;ground_idle;ground_walk;portrait
cradily,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,blink;cry;ground_idle;ground_walk;sleep
cramorant,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,blink;ground_idle
cranidos,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,battle_idle;blink;cry;faint;ground_idle;ground_run;ground_walk;idle_copy;pose;quirk_idle;quirk_shake;run speed test;sleep;walk speed test
crawdaunt,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,cry;ground_idle_placeholder;ground_walk_placeholder;pose;walktest
croagunk,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,battle_cry;battle_idle;battle_pose;blink;cheek_inflate;cry;faint;ground_idle;ground_pose;ground_run;ground_walk;physical;recoil;runspeed;sleep;special;status;walkspeed
crobat,True,True,True,True,False,True,True,False,False,True,False,False,False,True,False,air_fly;air_idle;battle_idle;blink;cry;ground_idle;ground_walk;happy;roost;sleep
crocalor,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,battle_idle;blink;cry;ground_idle;ground_walk;move;sleep
croconaw,True,True,True,True,True,False,False,True,True,True,False,False,False,True,False,battle_idle;blink;cry;demon;faint;ground_idle;ground_run;ground_walk;runspeedtest;sleep;surfacewater_idle;surfacewater_swim;walkspeedtest;water_idle;water_sleep;water_swim
crustle,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,battle_cry;battle_idle;blink;cry;cry_movement;faint;ground_idle;ground_run;ground_walk;physical;quirk;recoil;ride_ground_run;ride_ground_walk;ride_jump;runspeed_test;sleep;special;status;walkspeed_test
cryogonal,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,blink;faint;ground_idle;ground_walk;sleep
cubchoo,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,blink;cry;cry2;ground_idle;render
cubone,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,blink;cry;idle;test
cufant,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,battle_cry;battle_idle;blink;cry;faint;ground_idle;ground_run;ground_walk;physical;recoil;runspeedtest;sleep;special;status;walkspeedtest
cursola,True,True,True,True,False,False,False,False,False,True,False,True,False,True,True,battle_idle;blink;cry;dance;explode_test;faint;faint2;faint_alt;ground_idle;ground_idle_inactive;ground_walk;pose;recoil;sleep;special;walk test
cutiefly,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,cry;ditto_face;faint;ground_idle;ground_walk;sleep
cyclizar,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,blink;cry;ground_idle;ground_run;ground_walk;mount_idle;mount_walk;ride_ground_run;ride_jump;ride_mount_walk
cyndaquil,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,battle_cry;battle_entrance;battle_idle;cry;faint_wip;ground_idle;ground_run;ground_walk;render;sleep;sneeze_quirk_wip
dachsbun,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,blink;cry;ground_idle;ground_walk;sleep
darmanitan,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,battle_cry_wip;battle_idle;blink;cry;expressions;ground_idle;ground_run;ground_walk;move;move_run;quirk;ride_ground_run;ride_ground_walk;ride_ground_walk_old;ride_jump;sleep;test;test2;test3
dartrix,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,cry;ground_idle
darumaka,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,battle_idle;blink;cry;ground_idle;ground_run;ground_walk;move;move_run;quirk;quirk2;sleep;test
decidueye,True,True,True,False,False,True,True,False,False,False,False,False,False,True,False,air_fly;air_idle;blink;bow;cry;ground_idle;hisuian_cry
dedenne,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,blink;cry;ground_idle
deerling,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,
deino,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,battle_idle;cry;ground_idle;sleep_wip
delibird,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,blink;ground_idle
delphox,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,battle_idle;blink;cry;ground_idle;ground_walk
dewgong,True,True,True,True,False,False,False,True,True,False,False,False,False,True,True,angry;basepose;basepose_water;blink;cry;ground_idle;ground_walk;happy;hurt;neckdemo;pose;ride_water_swim;sad;test_walkspeed;water_idle;water_swim
